Date,BE,TWLO,ZM,SLP,DKNG,SPY,weekday,BE_Weight,TWLO_Weight,ZM_Weight,SLP_Weight,DKNG_Weight,BE_Holding,TWLO_Holding,ZM_Holding,SLP_Holding,DKNG_Holding,Portfolio,SPY_Bench
2020-05-05,7.340000152587891,116.56999969482422,144.82000732421875,38.402374267578125,21.610000610351562,283.8000793457031,1,0.0,0.2,0.11,0.11,0.59,0.0,28.0,12.0,45.0,442.0,16232.812545776367,9649.202697753906
2020-05-06,7.880000114440918,122.4000015258789,149.58999633789062,38.442298889160156,23.829999923706055,281.87628173828125,2,0.0,0.2,0.11,0.11,0.59,0.0,28.0,12.0,45.0,442.0,17485.04341506958,9583.793579101562
2020-05-07,7.849999904632568,170.88999938964844,157.8000030517578,39.41059875488281,23.510000228881836,285.2776184082031,3,0.0,0.2,0.11,0.11,0.59,0.0,28.0,12.0,45.0,442.0,18843.417064666748,9699.439025878906
2020-05-08,8.300000190734863,179.69000244140625,155.39999389648438,40.04947280883789,23.450000762939453,289.9978942871094,4,0.0,0.2,0.11,0.11,0.59,0.0,28.0,12.0,45.0,442.0,19063.24660873413,9859.928405761719
2020-05-11,8.390000343322754,186.61000061035156,166.47999572753906,39.94964599609375,24.459999084472656,290.057373046875,0,0.0,0.2,0.11,0.11,0.59,0.0,28.0,12.0,45.0,442.0,19831.893630981445,9861.95068359375
2020-05-12,8.579999923706055,190.2899932861328,161.0399932861328,38.36244201660156,26.299999237060547,284.2760925292969,1,0.0,0.22,0.01,0.06,0.7,0.0,24.0,2.0,33.0,552.0,20611.509284973145,9665.387145996094
2020-05-13,7.849999904632568,187.4199981689453,167.13999938964844,37.364200592041016,25.854999542236328,279.2484130859375,2,0.0,0.22,0.01,0.06,0.7,0.0,24.0,2.0,33.0,552.0,20337.33832168579,9494.446044921875
2020-05-14,8.029999732971191,191.86000061035156,167.91000366210938,37.63372802734375,25.309999465942383,282.59027099609375,3,0.0,0.22,0.01,0.06,0.7,0.0,24.0,2.0,33.0,552.0,20153.492752075195,9608.069213867188
2020-05-15,8.029999732971191,189.22000122070312,174.8300018310547,38.95140838623047,29.229999542236328,283.88934326171875,4,0.0,0.22,0.01,0.06,0.7,0.0,24.0,2.0,33.0,552.0,22311.296257019043,9652.237670898438
2020-05-18,8.34000015258789,183.38999938964844,164.69000244140625,39.560333251953125,29.549999237060547,292.5364990234375,0,0.0,0.22,0.01,0.06,0.7,0.0,24.0,2.0,33.0,552.0,22347.83056640625,9946.240966796875
2020-05-19,8.270000457763672,183.24000549316406,173.67999267578125,39.52040481567383,29.56999969482422,289.53179931640625,1,0.0,0.28,0.04,0.0,0.67,0.0,35.0,6.0,0.0,509.0,22371.933307647705,9844.081176757812
2020-05-20,8.0,191.91000366210938,175.47999572753906,39.560333251953125,29.690000534057617,294.45037841796875,2,0.0,0.28,0.04,0.0,0.67,0.0,35.0,6.0,0.0,509.0,22881.94037437439,10011.312866210938
2020-05-21,7.929999828338623,194.0,172.02999877929688,39.640193939208984,28.549999237060547,292.4175109863281,3,0.0,0.28,0.04,0.0,0.67,0.0,35.0,6.0,0.0,509.0,22354.1296043396,9942.195373535156
2020-05-22,7.920000076293945,208.6199951171875,171.05999755859375,39.05122756958008,29.110000610351562,292.97283935546875,4,0.0,0.28,0.04,0.0,0.67,0.0,35.0,6.0,0.0,509.0,23145.05012512207,9961.076538085938
2020-05-26,8.149999618530273,196.39999389648438,164.0,41.32722473144531,33.38999938964844,296.5823974609375,1,0.0,0.38,0.0,0.0,0.62,0.0,48.0,0.0,0.0,462.0,24853.509475708008,10083.801513671875
2020-05-27,8.34000015258789,192.35000610351562,161.97000122070312,39.43056106567383,35.150001525878906,300.9952697753906,2,0.0,0.38,0.0,0.0,0.62,0.0,48.0,0.0,0.0,462.0,25472.100997924805,10233.839172363281
2020-05-28,8.069999694824219,191.39999389648438,163.5500030517578,48.34486389160156,37.25,300.43994140625,3,0.0,0.38,0.0,0.0,0.62,0.0,48.0,0.0,0.0,462.0,26396.69970703125,10214.9580078125
2020-05-29,8.029999732971191,197.60000610351562,179.47999572753906,50.58092498779297,39.70000076293945,301.7786865234375,4,0.0,0.38,0.0,0.0,0.62,0.0,48.0,0.0,0.0,462.0,27826.200645446777,10260.475341796875
2020-06-01,8.399999618530273,199.0,204.14999389648438,51.90858459472656,43.70000076293945,302.9983825683594,0,0.0,0.38,0.0,0.0,0.62,0.0,48.0,0.0,0.0,462.0,29741.400352478027,10301.945007324219
2020-06-02,7.980000019073486,201.6699981689453,208.0800018310547,52.018394470214844,41.27000045776367,305.5072326660156,1,0.0,0.28,0.05,0.08,0.59,0.0,40.0,6.0,46.0,408.0,28746.90012359619,10387.245910644531
2020-06-03,7.769999980926514,200.8000030517578,223.8699951171875,49.612632751464844,40.15999984741211,309.5730285644531,2,0.0,0.28,0.05,0.08,0.59,0.0,40.0,6.0,46.0,408.0,28042.68113708496,10525.482971191406
2020-06-04,8.0,193.0500030517578,210.35000610351562,47.67604064941406,40.529998779296875,308.7598571777344,3,0.0,0.28,0.05,0.08,0.59,0.0,40.0,6.0,46.0,408.0,27713.437530517578,10497.835144042969
2020-06-05,8.140000343322754,196.7100067138672,207.60000610351562,48.8439826965332,39.34000015258789,316.6732177734375,4,0.0,0.28,0.05,0.08,0.59,0.0,40.0,6.0,46.0,408.0,27411.543571472168,10766.889404296875
2020-06-08,8.569999694824219,196.72999572753906,209.8300018310547,49.642578125,38.0,320.5010070800781,0,0.0,0.28,0.05,0.08,0.59,0.0,40.0,6.0,46.0,408.0,26915.73843383789,10897.034240722656
2020-06-09,8.399999618530273,194.27000427246094,205.42999267578125,51.21980285644531,39.40999984741211,318.11114501953125,1,0.0,0.34,0.16,0.08,0.41,0.0,49.0,22.0,43.0,286.0,27438.77099609375,10815.778930664062
2020-06-10,10.270000457763672,203.0800018310547,221.02000427246094,50.17164611816406,39.11000061035156,316.3360900878906,2,0.0,0.34,0.16,0.08,0.41,0.0,49.0,22.0,43.0,286.0,28156.201141357422,10755.427062988281
2020-06-11,8.6899995803833,188.4199981689453,222.07000732421875,47.925601959228516,36.279998779296875,298.0996398925781,3,0.0,0.34,0.16,0.08,0.41,0.0,49.0,22.0,43.0,286.0,26555.000606536865,10135.387756347656
2020-06-12,8.789999961853027,191.88999938964844,219.52000427246094,48.69424819946289,36.880001068115234,301.6695861816406,4,0.0,0.34,0.16,0.08,0.41,0.0,49.0,22.0,43.0,286.0,26873.583042144775,10256.765930175781
2020-06-15,9.050000190734863,203.3000030517578,239.02000427246094,54.49403381347656,41.790000915527344,304.4858703613281,0,0.0,0.34,0.16,0.08,0.41,0.0,49.0,22.0,43.0,286.0,29515.323959350586,10352.519592285156
2020-06-16,9.109999656677246,209.69000244140625,242.55999755859375,52.48756790161133,40.56999969482422,310.3465270996094,1,0.0,0.0,0.56,0.21,0.23,0.0,0.0,68.0,119.0,165.0,29471.115398406982,10551.781921386719
2020-06-17,8.8100004196167,211.27999877929688,236.75999450683594,53.116458892822266,40.720001220703125,309.057373046875,2,0.0,0.0,0.56,0.21,0.23,0.0,0.0,68.0,119.0,165.0,29139.33843612671,10507.95068359375
2020-06-18,9.09000015258789,215.2899932861328,241.57000732421875,53.85516357421875,40.84000015258789,309.1763610839844,3,0.0,0.0,0.56,0.21,0.23,0.0,0.0,68.0,119.0,165.0,29574.12498855591,10511.996276855469
2020-06-19,9.430000305175781,210.2899932861328,243.47999572753906,56.03132629394531,42.0,307.4094543457031,4,0.0,0.0,0.56,0.21,0.23,0.0,0.0,68.0,119.0,165.0,30154.36753845215,10451.921447753906
2020-06-22,9.069999694824219,216.25,251.27000427246094,56.13115310668945,38.255001068115234,309.3815612792969,0,0.0,0.0,0.56,0.21,0.23,0.0,0.0,68.0,119.0,165.0,30078.042686462402,10518.973083496094
2020-06-23,9.020000457763672,215.25,252.80999755859375,58.45705795288086,37.9900016784668,310.80584716796875,1,0.0,0.0,0.74,0.26,0.0,0.0,0.0,89.0,134.0,0.0,30415.82000732422,10567.398803710938
2020-06-24,9.0,212.1699981689453,255.89999389648438,55.34253692626953,37.560001373291016,302.8775939941406,2,0.0,0.0,0.74,0.26,0.0,0.0,0.0,89.0,134.0,0.0,30190.999404907227,10297.838195800781
2020-06-25,8.460000038146973,216.52000427246094,259.510009765625,57.7483024597168,36.06999969482422,306.1246032714844,3,0.0,0.0,0.74,0.26,0.0,0.0,0.0,89.0,134.0,0.0,30834.663398742676,10408.236511230469
2020-06-26,7.78000020980835,221.14999389648438,256.79998779296875,58.397159576416016,33.34000015258789,298.85369873046875,4,0.0,0.0,0.74,0.26,0.0,0.0,0.0,89.0,134.0,0.0,30680.418296813965,10161.025756835938
2020-06-29,8.220000267028809,210.99000549316406,248.55999755859375,58.407142639160156,33.540000915527344,303.24609375,0,0.0,0.0,0.74,0.26,0.0,0.0,0.0,89.0,134.0,0.0,29948.396896362305,10310.3671875
