Date,High,Low,Open,Close,Volume,Adj Close
2015-06-29,211.32533340454103,209.64800059000652,210.50266672770184,210.46766688028973,100955301.66666667,188.97236404418945
2015-06-30,211.30650024414064,209.64916712443033,210.5341667175293,210.4346669514974,102097916.66666667,188.95772654215494
2015-07-01,211.29433364868163,209.63783365885416,210.53199996948243,210.4383336385091,103010310.0,188.9761116027832
2015-07-02,211.29033381144205,209.6333335876465,210.54066670735676,210.42716700236002,103260673.33333333,188.98117218017578
2015-07-06,211.26483383178712,209.60566685994465,210.5071667989095,210.390833791097,103801115.0,188.96360702514647
2015-07-07,211.2328338623047,209.52483342488605,210.4698336283366,210.3571673075358,105486070.0,188.9485295613607
2015-07-08,211.16833368937174,209.44516677856444,210.4123336791992,210.28116734822592,106979128.33333333,188.89521001180012
2015-07-09,211.12900034586588,209.38966674804686,210.3821667989095,210.2046671549479,108129348.33333333,188.841468556722
2015-07-10,211.078000386556,209.30633341471355,210.3361666361491,210.15550053914387,108628141.66666667,188.81244176228842
2015-07-13,211.06000035603842,209.29216690063475,210.31883341471354,210.14550069173177,109247050.0,188.8187291463216
2015-07-14,211.09033381144206,209.33616689046224,210.3318333943685,210.19100062052408,107423656.66666667,188.87488555908203
2015-07-15,211.10750045776368,209.35416666666666,210.35966669718425,210.20366719563802,107519066.66666667,188.90157368977864
2015-07-16,211.1315004984538,209.3931666056315,210.37966664632162,210.2486671447754,108087791.66666667,188.9573994954427
2015-07-17,211.1598337809245,209.44150009155274,210.41766662597655,210.27950032552084,108267215.0,189.0005256652832
2015-07-20,211.18050028483074,209.47816696166993,210.46100006103515,210.30333353678387,107731563.33333333,189.0373784383138
2015-07-21,211.19333368937174,209.48283360799152,210.473833211263,210.30500030517578,108008856.66666667,189.0542780558268
2015-07-22,211.18150049845377,209.48866704305013,210.45049972534179,210.31500015258788,108164020.0,189.07862854003906
2015-07-23,211.18400039672852,209.49566701253255,210.4636662801107,210.29399998982748,108224780.0,189.07507400512696
2015-07-24,211.16866709391277,209.46233367919922,210.46249974568684,210.25116653442382,108092615.0,189.05176849365233
2015-07-27,211.12200037638345,209.43966700236004,210.41349970499675,210.22333297729492,107610218.33333333,189.04183553059895
2015-07-28,211.1008336385091,209.39833374023436,210.38666636149088,210.20016632080078,107945970.0,189.03627446492513
2015-07-29,211.08450012207032,209.36850026448568,210.3574996948242,210.19099960327148,108527038.33333333,189.0433817545573
2015-07-30,211.07716674804686,209.38000030517577,210.34299977620444,210.22299982706707,108160008.33333333,189.08743387858073
2015-07-31,211.10250015258788,209.43666712443033,210.37399978637694,210.26399993896484,107630120.0,189.1395393371582
2015-08-03,211.1216667175293,209.45550028483072,210.41633326212565,210.2793332417806,108058800.0,189.16856129964194
