calendardate,ticker,eps,netinc,opinc,ncfo,cashnequsd,de,ebitda,fcf,marketcap,netmargin,pb,pe,ps,workingcapital,ev,divyield,fcfps,revenue,invcap,ebit,equityusd,assets,roe,roa,roic,stock_price,sp500_price,stock_p_change,sp500_p_change
6/30/2013,FIRE,0.07,2217000.0,2738000.0,5860000.0,128720000.0,0.449,4711000.0,2489000.0,2375028276.0,0.034,8.515,393.347,9.6,203620000.0,2246308276.0,0.0,0.079,65052000.0,157970000.0,2589000.0,278925000.0,404122000.0,0.007948373218607153,0.0054859671089423495,0.014034310312084573,5.290000033378601,139.3297966003418,-2.39,1.98
9/30/2020,FIS,0.03,20000000.0,231000000.0,1411000000.0,1826000000.0,0.693,1155000000.0,1140000000.0,77576013177.0,0.006,1.5819999999999999,-745.923,6.167000000000001,-2841000000.0,95939013177.0,0.011000000000000001,1.839,3197000000.0,18691000000.0,225000000.0,49031000000.0,83195000000.0,0.0004079052028308621,0.00024039906244365647,0.001070033706061741,144.7889444986979,331.48317769368487,0.42,2.14
9/30/2020,FISV,0.39,264000000.0,542000000.0,1042000000.0,937000000.0,1.252,1349000000.0,841000000.0,62699354091.0,0.07,1.9780000000000002,69.281,4.162,762000000.0,83021354091.0,0.0,1.256,3786000000.0,27874000000.0,562000000.0,31692000000.0,72372000000.0,0.008330177962892843,0.0036478195987398442,0.009471191791633781,99.70983339945477,331.48317769368487,0.52,2.14
6/30/2020,FIT,-0.39,-104097000.0,-91210000.0,32500000.0,343476000.0,1.423,-68505000.0,27506000.0,1747832392.0,-0.39799999999999996,4.062,-6.813,1.3459999999999999,293840000.0,1487453392.0,0.0,0.10300000000000001,261272000.0,213878000.0,-88960000.0,430316000.0,1042475000.0,-0.24190827206053225,-0.09985563202954507,-0.4867120507953132,6.528666671117147,292.61378580729166,-0.43,4.35
6/30/2020,FIVE,0.53,29581000.0,33142000.0,126715000.0,160338000.0,1.7630000000000001,50154000.0,66091000.0,7100817602.0,0.069,9.808,71.321,4.198,204333000.0,7983970602.0,0.0,1.185,426110000.0,2517207000.0,33142000.0,723955000.0,2000247000.0,0.040860274464573076,0.014788673598810547,0.01175151666112481,95.25833358764649,292.61378580729166,7.29,4.35
9/30/2020,FIVN,-0.17,-11431000.0,-1785000.0,22831000.0,301767000.0,2.862,6542000.0,17310000.0,9442622053.0,-0.102,35.986999999999995,-277.04,23.649,765323000.0,9797732053.0,0.0,0.264,112143000.0,1218119000.0,-1436000.0,262389000.0,1013287000.0,-0.04356508847550774,-0.011281107919079195,-0.009384140629938455,120.65049985249836,331.48317769368487,6.7,2.14
9/30/2020,FIX,1.37,50088000.0,56685000.0,52614000.0,70540000.0,1.511,75450000.0,48206000.0,1971867609.0,0.07,2.951,13.95,0.685,155953000.0,2205248609.0,0.008,1.319,714099000.0,633227000.0,60100000.0,668126000.0,1677969000.0,0.07496789527723813,0.02985037268268961,0.07909959619536122,48.94578742980957,331.48317769368487,7.54,2.14
6/30/2020,FIZZ,1.1,51164000.0,66671000.0,51529000.0,352519000.0,0.39799999999999996,74973000.0,47862000.0,3632642771.0,0.174,7.138,24.78,3.5260000000000002,377453000.0,3326139771.0,0.0,1.0270000000000001,293367000.0,240733000.0,66947000.0,508940000.0,711661000.0,0.10053051440248359,0.07189378088724828,0.21253421840794573,54.597166570027674,292.61378580729166,9.62,4.35
6/30/2020,FL,0.43,45000000.0,72000000.0,722000000.0,1373000000.0,1.876,116000000.0,691000000.0,3513809980.0,0.022000000000000002,1.462,18.112000000000002,0.474,1161000000.0,5430809980.0,0.034,6.612,2077000000.0,6980000000.0,72000000.0,2403000000.0,6912000000.0,0.018726591760299626,0.006510416666666667,0.0064469914040114614,26.602593008677164,292.61378580729166,6.82,4.35
12/31/2014,FLDM,-0.38,-10944000.0,-9833000.0,-3525000.0,33713000.0,1.709,-9243000.0,-5009000.0,1203939278.0,-0.327,8.004,-22.789,10.338,126512000.0,1365681278.0,0.0,-0.177,33490000.0,333608000.0,-10382000.0,150419000.0,407559000.0,-0.07275676610002725,-0.02685255386336702,-0.03280496870578643,28.638833300272626,179.0726025899251,10.71,1.66
9/30/2020,FLEX,0.23,113000000.0,175000000.0,264390000.0,2359000000.0,3.8160000000000003,364785000.0,195796000.0,7091385176.0,0.019,2.2769999999999997,21.855,0.307,3322000000.0,9079385176.0,0.0,0.391,5985000000.0,8503000000.0,175000000.0,3115000000.0,15001000000.0,0.036276083467094704,0.007532831144590361,0.013289427260966718,10.878333361943564,331.48317769368487,6.62,2.14
9/30/2020,FLIR,0.46,60663000.0,86577000.0,82174000.0,319995000.0,0.7759999999999999,110661000.0,72280000.0,4549402878.0,0.13,2.515,32.723,2.4090000000000003,741447000.0,5022370878.0,0.02,0.551,466414000.0,1636788000.0,87194000.0,1808866000.0,3212912000.0,0.03353648086701834,0.01888100265428994,0.03706222186379666,37.81446317036945,331.48317769368487,-4.14,2.14
6/30/2020,FLO,0.27,57919000.0,79209000.0,169609000.0,299562000.0,1.5430000000000001,118593000.0,145305000.0,4951505005.0,0.055999999999999994,3.705,50.668,1.162,311396000.0,6045765005.0,0.033,0.6859999999999999,1025861000.0,2679611000.0,85413000.0,1336488000.0,3398794000.0,0.04333671533152561,0.017041044558746426,0.021614704522410155,22.291620667775472,292.61378580729166,-0.19,4.35
9/30/2020,FLOW,0.29,12100000.0,31600000.0,37200000.0,352300000.0,1.013,30400000.0,31700000.0,1787767304.0,0.034,1.7830000000000001,-10.908,1.3559999999999999,401500000.0,1841567304.0,0.0,0.752,356900000.0,846900000.0,20200000.0,1002400000.0,2022300000.0,0.012071029529130087,0.005983286357118133,0.014287401109930334,42.08916664123535,331.48317769368487,5.34,2.14
3/31/2020,FLR,-1.9,-265959000.0,-222155000.0,-63743000.0,1870874000.0,5.572,-285750000.0,-80372000.0,1642315643.0,-0.065,1.504,-0.9490000000000001,0.10300000000000001,1418943000.0,1469818643.0,0.017,-0.5720000000000001,4118556000.0,3102944000.0,-314467000.0,1091645000.0,7292469000.0,-0.2436314003178689,-0.03647036415238789,-0.08571182721956955,13.671956992149351,300.2955978393555,-26.47,-5.41
6/30/2020,FLS,0.07,8645000.0,42888000.0,-26071000.0,561705000.0,1.844,51153000.0,-40732000.0,3896982017.0,0.009000000000000001,2.344,26.642,1.003,1341817000.0,4886196017.0,0.026000000000000002,-0.313,924965000.0,3295734000.0,26954000.0,1662572000.0,4755702000.0,0.005199774806745211,0.0018178178531791942,0.002623087906973075,26.48712555567424,292.61378580729166,3.83,4.35
6/30/2020,FLT,1.89,158488000.0,210331000.0,382135000.0,1191346000.0,2.582,306202000.0,363522000.0,19869878616.0,0.302,6.6979999999999995,25.910999999999998,7.742999999999999,-162899000.0,23126173616.0,0.0,4.333,525146000.0,3552490000.0,244040000.0,2966434000.0,10626717000.0,0.05342711147458531,0.014914107527282415,0.04461321495627011,240.15783309936523,292.61378580729166,4.61,4.35
6/30/2020,FLWS,0.16,9774000.0,12334000.0,22075000.0,240506000.0,0.937,23209000.0,9654000.0,1504004322.0,0.023,3.762,25.491999999999997,1.01,198298000.0,1426306322.0,0.0,0.15,417956000.0,375421000.0,13964000.0,399774000.0,774435000.0,0.024448813579672515,0.012620813883670031,0.026034771629717037,20.072999954223636,292.61378580729166,13.19,4.35
